provider,go_version,go_version_satisfies_constraint,uses_go_modules,sdk_version,sdk_version_satisfies_constraint,does_not_use_removed_packages,all_constraints_satisfied
terraform-provider-rancher2,1.12.0,true,true,0.12.0,true,true,true
terraform-provider-random,1.11.5,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-rightscale,1.11.5,false,true,0.11.12-beta1.0.20190214175014-182daa619826,false,true,false
terraform-provider-rundeck,1.11.6,false,true,0.12.1,true,true,false
terraform-provider-runscope,1.11.5,false,true,0.12.2,true,false,false
terraform-provider-scaleway,1.11.5,false,true,0.12.1,true,true,false
terraform-provider-selectel,1.12.0,true,true,0.12.2,true,true,true
terraform-provider-signalfx,1.12.0,true,true,0.12.3,true,true,true
terraform-provider-skytap,1.11.5,false,true,0.11.12-beta1.0.20190214175014-182daa619826,false,true,false
terraform-provider-softlayer,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-spotinst,1.11.6,false,true,0.11.14-0.20190329073242-44702fa6c163,false,true,false
terraform-provider-statuscake,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-telefonicaopencloud,1.12.0,true,true,0.10.1,false,true,false
terraform-provider-template,1.11.0,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-tencentcloud,1.11.5,false,true,0.12.3,true,true,false
terraform-provider-terraform,1.12.0,true,true,0.10.8,false,false,false
terraform-provider-tfe,1.11.4,false,true,0.12.0,true,true,false
terraform-provider-tls,1.11.0,false,true,0.12.2,true,true,false
terraform-provider-triton,1.12.0,true,true,0.10.7,false,true,false
terraform-provider-ucloud,1.12.0,true,true,0.12.2,true,true,true
terraform-provider-ultradns,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-vault,1.12.0,true,true,0.12.2,true,true,true
terraform-provider-vcd,1.12.0,true,true,0.12.0,true,true,true
terraform-provider-vra7,1.11.0,false,true,0.12.0,true,true,false
terraform-provider-vsphere,1.12.0,true,true,0.12.2,true,true,true
terraform-provider-yandex,1.12.0,true,true,0.12.0,true,true,true
